time,x,vx,y,vy,z,vz,phi,p,theta,q,psi,r,U1,U2,U3,U4,x_d,vx_d,y_d,vy_d,z_d,vz_d,psi_d,psi_dot_d,Ux,Uy,phi_d,theta_d
0.0000,5.0000,0.0000,0.0000,0.0000,35.0000,0.0028,0.0000,0.0000,-0.0070,-0.7000,0.0016,0.1566,4.7628,0.0000,-0.7000,0.3132,5.0000,-0.0000,0.0000,2.5000,35.0000,-0.2500,1.5708,0.5000,0.0000,0.2516,-0.0000,0.2544
0.0100,5.0000,0.0007,0.0000,0.0000,35.0001,0.0056,0.0000,0.0019,-0.0140,-0.7029,0.0046,0.3000,4.7655,0.0008,-0.0029,0.2868,4.9999,-0.0125,0.0250,2.5000,34.9975,-0.2500,1.5758,0.5000,-0.0033,0.2553,-0.0020,0.2581
0.0200,5.0000,0.0020,0.0000,0.0000,35.0002,0.0084,0.0000,0.0015,-0.0211,-0.7050,0.0089,0.4313,4.7683,-0.0025,-0.0021,0.2625,4.9998,-0.0250,0.0500,2.4999,34.9950,-0.2500,1.5808,0.5000,-0.0068,0.2589,-0.0042,0.2619
0.0300,5.0001,0.0040,0.0000,0.0000,35.0003,0.0111,0.0000,-0.0008,-0.0281,-0.7063,0.0144,0.5513,4.7714,-0.0053,-0.0013,0.2401,4.9994,-0.0375,0.0750,2.4997,34.9925,-0.2500,1.5858,0.5000,-0.0105,0.2625,-0.0066,0.2657
0.0400,5.0001,0.0067,0.0000,0.0001,35.0004,0.0137,-0.0000,-0.0045,-0.0352,-0.7069,0.0210,0.6609,4.7748,-0.0076,-0.0006,0.2193,4.9990,-0.0500,0.1000,2.4995,34.9900,-0.2500,1.5908,0.5000,-0.0143,0.2660,-0.0090,0.2695
0.0500,5.0002,0.0101,0.0000,0.0001,35.0006,0.0163,-0.0001,-0.0092,-0.0423,-0.7068,0.0286,0.7610,4.7784,-0.0094,0.0001,0.2002,4.9984,-0.0625,0.1250,2.4992,34.9875,-0.2500,1.5958,0.5000,-0.0184,0.2695,-0.0116,0.2733
0.0600,5.0004,0.0141,0.0000,0.0002,35.0008,0.0188,-0.0003,-0.0145,-0.0493,-0.7060,0.0371,0.8523,4.7822,-0.0107,0.0008,0.1825,4.9978,-0.0750,0.1500,2.4989,34.9850,-0.2500,1.6008,0.5000,-0.0226,0.2730,-0.0144,0.2771
0.0700,5.0006,0.0188,0.0000,0.0004,35.0010,0.0213,-0.0005,-0.0202,-0.0564,-0.7046,0.0465,0.9354,4.7863,-0.0117,0.0015,0.1662,4.9969,-0.0875,0.1750,2.4985,34.9825,-0.2500,1.6058,0.5000,-0.0270,0.2765,-0.0173,0.2810
0.0800,5.0008,0.0242,0.0000,0.0006,35.0012,0.0238,-0.0007,-0.0260,-0.0634,-0.7026,0.0566,1.0110,4.7907,-0.0124,0.0022,0.1512,4.9960,-0.1000,0.1999,2.4980,34.9800,-0.2500,1.6108,0.5000,-0.0316,0.2799,-0.0203,0.2849
0.0900,5.0011,0.0303,0.0000,0.0009,35.0015,0.0262,-0.0010,-0.0316,-0.0704,-0.7001,0.0674,1.0796,4.7952,-0.0127,0.0028,0.1373,4.9949,-0.1125,0.2249,2.4975,34.9775,-0.2500,1.6158,0.5000,-0.0363,0.2833,-0.0235,0.2887
0.1000,5.0015,0.0370,0.0000,0.0012,35.0018,0.0285,-0.0014,-0.0369,-0.0774,-0.6970,0.0788,1.1419,4.8000,-0.0128,0.0034,0.1245,4.9938,-0.1249,0.2499,2.4969,34.9750,-0.2500,1.6208,0.5000,-0.0412,0.2867,-0.0268,0.2926
0.1100,5.0019,0.0445,0.0001,0.0017,35.0021,0.0308,-0.0018,-0.0417,-0.0843,-0.6935,0.0908,1.1982,4.8051,-0.0127,0.0039,0.1127,4.9924,-0.1374,0.2749,2.4962,34.9725,-0.2500,1.6258,0.5000,-0.0463,0.2900,-0.0303,0.2966
0.1200,5.0024,0.0525,0.0001,0.0022,35.0024,0.0330,-0.0023,-0.0458,-0.0912,-0.6895,0.1033,1.2491,4.8104,-0.0124,0.0044,0.1018,4.9910,-0.1499,0.2998,2.4955,34.9700,-0.2500,1.6308,0.5000,-0.0516,0.2933,-0.0339,0.3005
0.1300,5.0031,0.0613,0.0001,0.0029,35.0028,0.0352,-0.0028,-0.0491,-0.0981,-0.6853,0.1162,1.2950,4.8159,-0.0119,0.0048,0.0917,4.9894,-0.1624,0.3248,2.4947,34.9675,-0.2500,1.6358,0.5000,-0.0570,0.2965,-0.0376,0.3045
0.1400,5.0038,0.0707,0.0001,0.0038,35.0031,0.0373,-0.0033,-0.0515,-0.1049,-0.6808,0.1296,1.3362,4.8216,-0.0113,0.0051,0.0825,4.9878,-0.1749,0.3497,2.4939,34.9650,-0.2500,1.6408,0.5000,-0.0626,0.2997,-0.0415,0.3085
0.1500,5.0046,0.0808,0.0002,0.0048,35.0035,0.0394,-0.0038,-0.0530,-0.1116,-0.6762,0.1433,1.3732,4.8276,-0.0106,0.0053,0.0740,4.9859,-0.1873,0.3746,2.4930,34.9625,-0.2500,1.6458,0.5000,-0.0684,0.3029,-0.0455,0.3125
0.1600,5.0055,0.0915,0.0002,0.0059,35.0039,0.0414,-0.0043,-0.0535,-0.1183,-0.6715,0.1574,1.4063,4.8337,-0.0098,0.0055,0.0661,4.9840,-0.1998,0.3996,2.4920,34.9600,-0.2500,1.6508,0.5000,-0.0743,0.3060,-0.0497,0.3166
0.1700,5.0065,0.1028,0.0003,0.0073,35.0044,0.0434,-0.0049,-0.0530,-0.1250,-0.6667,0.1718,1.4357,4.8401,-0.0089,0.0055,0.0589,4.9819,-0.2122,0.4245,2.4910,34.9575,-0.2500,1.6558,0.5000,-0.0805,0.3090,-0.0540,0.3207
0.1800,5.0077,0.1148,0.0004,0.0089,35.0048,0.0453,-0.0054,-0.0515,-0.1316,-0.6620,0.1864,1.4618,4.8466,-0.0080,0.0055,0.0522,4.9798,-0.2247,0.4494,2.4899,34.9550,-0.2500,1.6608,0.5000,-0.0867,0.3120,-0.0584,0.3248
